asset_id,type,source,path_or_url,segment_id,role,rights_status,status,review_status,beat_ids,actor_id,version,motion_type,embed_full,embed_card,last_regen_at,notes
ref_source_terms,screenshot,self-created browser capture,segments/S001/assets/ref/processed/ref_source_terms_1280x720.jpg,S001,proof,self-created,ready,pending,B002,actor_ref_source_terms,001,still_photo,segments/S001/assets/ref/processed/ref_source_terms_1280x720.jpg,segments/S001/assets/ref/processed/ref_source_terms_640x360.jpg,,来源截图，限定词和来源标注必须清楚。
gen_mechanism_diagram,image,generated diagram,segments/S001/assets/ref/processed/gen_mechanism_diagram_1280x720.png,S001,explanation,self-created,ready,pending,B003,actor_gen_mechanism,001,still_photo,segments/S001/assets/ref/processed/gen_mechanism_diagram_1280x720.png,segments/S001/assets/ref/processed/gen_mechanism_diagram_640x360.png,,机制示意图，不包含烘焙中文。
title_problem_card,svg_component,programmatic component,segments/S001/assets/title_problem_card.svg,S001,hook,self-created,needed,pending,B001,actor_title_card,001,svg_only,,,,标题卡由代码文字层渲染。
icon_question,svg_component,programmatic component,segments/S001/assets/icon_question.svg,S001,hook,self-created,needed,pending,B001,actor_icon_question,001,svg_only,,,,疑问图标。
focus_ring,svg_component,programmatic component,segments/S001/assets/focus_ring.svg,S001,annotation,self-created,needed,pending,B001,actor_focus_ring,001,svg_only,,,,焦点环。
source_card,svg_component,programmatic component,segments/S001/assets/source_card.svg,S001,proof,self-created,needed,pending,B002,actor_source_card,001,svg_only,,,,来源卡容器。
yellow_highlight_box,svg_component,programmatic component,segments/S001/assets/yellow_highlight_box.svg,S001,annotation,self-created,needed,pending,B002,actor_highlight,001,svg_only,,,,高亮限定词。
icon_pipeline,svg_component,programmatic component,segments/S001/assets/icon_pipeline.svg,S001,explanation,self-created,needed,pending,B003,actor_icon_pipeline,001,svg_only,,,,流程图标。
arrow_connector,svg_component,programmatic component,segments/S001/assets/arrow_connector.svg,S001,annotation,self-created,needed,pending,B003,actor_arrow,001,svg_only,,,,连接箭头。
texture_grid,texture,generated or CSS,segments/S001/assets/texture_grid.png,S001,ambient,self-created,needed,pending,all,actor_texture_grid,001,still_photo,,,,背景网格纹理。
