asset_id,type,description,source_or_prompt,rights_status,layer,first_on_sec,last_on_sec,entrance,main_motion,exit,states,reused_in_segments,sfx_affordance,implementation_notes
motion_shaking_lamp,video_clip,真实吊灯或桌面物体晃动 footage,licensed or self-created footage,needs-check,scene,0.0,2.2,already moving or trim into action,slow push with minimal stabilization,hard cut or match motion into phone frame,idle|shaking,S001,low hit,现实感主角；字幕和图形必须很少。
ref_app_home,screenshot,地震预警 App 首页截图,self-captured screenshot,editorial-review,proof,2.1,5.0,hf_phone_frame slides in from lower right,hold readable with one tap pulse,continue into ad-slot zoom,idle|tapped,S001,ui click,截图本体稳定，动的是 HyperFrames 手机框/点击/轻推。
ref_app_ad_slot,screenshot,App 页面广告区域截图,self-captured screenshot,editorial-review,proof,5.0,8.3,continue from App page context,zoom to ad slot then hold,shrink into evidence stack or cut to table,idle|zoomed|locked,S001,stamp hit,先完整后局部；红框不要遮住广告内容。
hf_red_box,hyperframes_component,红色标注框,inline SVG/CSS in HyperFrames,self-created,annotation,5.45,12.0,stroke draw,lock on spoken keyword then move to table column,fade or morph into next red label,idle|draw|locked,S001,tick/stamp,由 HyperFrames 原生生成；只服务截图/表格，不独立成为主画面。
hf_phone_frame,hyperframes_component,手机外框和点击反馈,HTML/CSS in HyperFrames,self-created,container,2.1,8.3,slide in with shadow,subtle tap pulse and camera-linked transform,slide out or continue into proof crop,idle|tapped|zooming,S001,ui click,不要导出 PNG；用 CSS/HTML 保持比例和阴影。
hf_grid_bg,hyperframes_component,米白色网格背景,CSS gradients in HyperFrames,self-created,ambient,0.0,15.0,already visible,slow diagonal drift plus very subtle parallax,fade to black before viewpoint,idle|drift,S001,no_cue,默认解释背景；不是纯色空底。
hf_noise_grain,hyperframes_component,轻微纸感颗粒,CSS pseudo-element or canvas noise,self-created,ambient,0.0,15.0,already visible,opacity breath 0.04-0.08,fade to black,idle|breath,S001,no_cue,增强质感，不能脏。
hf_source_card,hyperframes_component,来源卡容器和标签,HTML/CSS in HyperFrames,self-created,container,2.1,12.0,card slide with soft shadow,hold readable; source label ticks on,stack into corner,idle|active|stored,S001,soft tick,用于截图/表格，不需要外部图片。
hf_icon_cluster,hyperframes_component,小图标群和状态符号,inline SVG icons in HyperFrames,self-created,support,2.2,8.3,stagger pop,small tick/pulse on key words,fade or shift to edge,idle|pulse,S001,tick,图标必须服务语义：App、预警、广告、会员。
hf_data_chip,hyperframes_component,状态/警示/对比 chip,HTML/CSS in HyperFrames,self-created,support,5.4,12.0,snap in,number/status flicker then hold,slide into source stack,idle|active,S001,pop,补画面信息密度，不遮挡证据。
chart_privilege_compare,hyperframes_component,会员差异迷你对比条,SVG/canvas in HyperFrames,self-created,data,9.0,12.0,bar draw,left/right contrast pulse,shrink out before reset,idle|drawing|complete,S001,data tick,简单图表用 HyperFrames 画，不进资产生成。
hf_soft_shadow,hyperframes_component,截图卡片空间阴影和底板,CSS in HyperFrames,self-created,ambient,2.1,12.0,fade in,soft parallax and shadow follow,fade before black reset,idle,S001,no_cue,作为画面空间层，不进入资产生成。
ref_vip_table,screenshot,会员权益表截图,self-captured screenshot,editorial-review,proof,8.3,12.0,slide in from same direction as previous evidence card,full table hold then crop/magnifier to columns,exit before black-screen viewpoint,idle|full|magnified,S001,tick,表格要保留列头和关键行。
text_final_line,text_layer,观点收束句,script/text_manifest.json,self-created,hud,12.0,15.0,line one fades in then line two appears after pause,hold still with silence,fade to black,idle|line1|line2,S001,silence,由 HyperFrames 原生文字渲染；不要加多余图表或装饰。
